User ID,Session-ID,Fecha y Hora,Cantidad de caracteres
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-01 00:00:00,428
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-01 00:00:31,641
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-01 00:00:50,923
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-01 00:01:13,1350
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-01 00:01:43,295
,020bac82d7b2a00469f3ab29e841a9022a59e8d31926de05f11d0d3715a71c1c,2026-01-01 14:03:37,107
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-02 16:59:36,439
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-02 17:00:05,446
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-02 17:01:32,870
,02ae954dbf1cb53e316ec02a1ec903b2d196a4a518d1a5436310f004fe2ea51a,2026-01-02 17:01:46,450
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-02 21:12:09,411
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-02 21:14:45,248
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-02 21:15:13,330
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-02 21:15:43,428
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-03 12:29:54,357
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-03 12:30:27,294
,b7359ae21cf56ee84a03aa8461b25c6cdd782f382fcee01ed9b8357558b2b3c7,2026-01-03 12:30:42,285
